"Plot Title: HoboDC105-2ndlaunch-SN2006528"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 2006528, SEN S/N: 2006528)","Avg: Hourly Temperature, °C (LGR S/N: 2006528)","Max: Daily Temperature, °C (LGR S/N: 2006528)","Min: Daily Temperature, °C (LGR S/N: 2006528)","Coupler Attached (LGR S/N: 2006528)","Host Connected (LGR S/N: 2006528)","Stopped (LGR S/N: 2006528)","End Of File (LGR S/N: 2006528)"
1,07/12/19 12:00:00 AM,,,28.754,8.680,,,,
2,07/12/19 06:00:00 PM,28.754,27.236,,,,,,
3,07/12/19 06:05:00 PM,28.655,,,,,,,
4,07/12/19 06:10:00 PM,28.555,,,,,,,
5,07/12/19 06:15:00 PM,28.555,,,,,,,
6,07/12/19 06:20:00 PM,28.159,,,,,,,
7,07/12/19 06:25:00 PM,27.665,,,,,,,
8,07/12/19 06:30:00 PM,27.173,,,,,,,
9,07/12/19 06:35:00 PM,26.683,,,,,,,
10,07/12/19 06:40:00 PM,26.390,,,,,,,
11,07/12/19 06:45:00 PM,25.902,,,,,,,
12,07/12/19 06:50:00 PM,25.416,,,,,,,
13,07/12/19 06:55:00 PM,24.931,,,,,,,
14,07/12/19 07:00:00 PM,24.545,21.986,,,,,,
15,07/12/19 07:05:00 PM,24.158,,,,,,,
16,07/12/19 07:10:00 PM,23.677,,,,,,,
17,07/12/19 07:15:00 PM,23.100,,,,,,,
18,07/12/19 07:20:00 PM,22.429,,,,,,,
19,07/12/19 07:25:00 PM,21.951,,,,,,,
20,07/12/19 07:30:00 PM,21.569,,,,,,,
21,07/12/19 07:35:00 PM,21.282,,,,,,,
22,07/12/19 07:40:00 PM,20.805,,,,,,,
23,07/12/19 07:45:00 PM,20.329,,,,,,,
24,07/12/19 07:50:00 PM,20.138,,,,,,,
25,07/12/19 07:55:00 PM,19.853,,,,,,,
26,07/12/19 08:00:00 PM,19.282,16.347,,,,,,
27,07/12/19 08:05:00 PM,18.616,,,,,,,
28,07/12/19 08:10:00 PM,16.618,,,,,,,
29,07/12/19 08:15:00 PM,15.664,,,,,,,
30,07/12/19 08:20:00 PM,15.569,,,,,,,
31,07/12/19 08:25:00 PM,15.855,,,,,,,
32,07/12/19 08:30:00 PM,16.141,,,,,,,
33,07/12/19 08:35:00 PM,16.141,,,,,,,
34,07/12/19 08:40:00 PM,16.046,,,,,,,
35,07/12/19 08:45:00 PM,15.760,,,,,,,
36,07/12/19 08:50:00 PM,15.473,,,,,,,
37,07/12/19 08:55:00 PM,14.996,,,,,,,
38,07/12/19 09:00:00 PM,14.709,12.565,,,,,,
39,07/12/19 09:05:00 PM,14.325,,,,,,,
40,07/12/19 09:10:00 PM,13.942,,,,,,,
41,07/12/19 09:15:00 PM,13.558,,,,,,,
42,07/12/19 09:20:00 PM,13.173,,,,,,,
43,07/12/19 09:25:00 PM,12.690,,,,,,,
44,07/12/19 09:30:00 PM,12.304,,,,,,,
45,07/12/19 09:35:00 PM,12.013,,,,,,,
46,07/12/19 09:40:00 PM,11.625,,,,,,,
47,07/12/19 09:45:00 PM,11.236,,,,,,,
48,07/12/19 09:50:00 PM,10.846,,,,,,,
49,07/12/19 09:55:00 PM,10.357,,,,,,,
50,07/12/19 10:00:00 PM,9.965,8.927,,,,,,
51,07/12/19 10:05:00 PM,9.472,,,,,,,
52,07/12/19 10:10:00 PM,9.077,,,,,,,
53,07/12/19 10:15:00 PM,8.779,,,,,,,
54,07/12/19 10:20:00 PM,8.680,,,,,,,
55,07/12/19 10:25:00 PM,8.680,,,,,,,
56,07/12/19 10:30:00 PM,8.680,,,,,,,
57,07/12/19 10:35:00 PM,8.680,,,,,,,
58,07/12/19 10:40:00 PM,8.779,,,,,,,
59,07/12/19 10:45:00 PM,8.779,,,,,,,
60,07/12/19 10:50:00 PM,8.779,,,,,,,
61,07/12/19 10:55:00 PM,8.779,,,,,,,
62,07/12/19 11:00:00 PM,8.779,8.779,,,,,,
63,07/12/19 11:05:00 PM,8.779,,,,,,,
64,07/12/19 11:10:00 PM,8.779,,,,,,,
65,07/12/19 11:15:00 PM,8.779,,,,,,,
66,07/12/19 11:20:00 PM,8.779,,,,,,,
67,07/12/19 11:25:00 PM,8.779,,,,,,,
68,07/12/19 11:30:00 PM,8.779,,,,,,,
69,07/12/19 11:35:00 PM,8.779,,,,,,,
70,07/12/19 11:40:00 PM,8.779,,,,,,,
71,07/12/19 11:45:00 PM,8.779,,,,,,,
72,07/12/19 11:50:00 PM,8.779,,,,,,,
73,07/12/19 11:55:00 PM,8.779,,,,,,,
74,07/13/19 12:00:00 AM,8.779,8.779,29.252,8.680,,,,
75,07/13/19 12:05:00 AM,8.779,,,,,,,
76,07/13/19 12:10:00 AM,8.779,,,,,,,
77,07/13/19 12:15:00 AM,8.779,,,,,,,
78,07/13/19 12:20:00 AM,8.779,,,,,,,
79,07/13/19 12:25:00 AM,8.779,,,,,,,
80,07/13/19 12:30:00 AM,8.779,,,,,,,
81,07/13/19 12:35:00 AM,8.779,,,,,,,
82,07/13/19 12:40:00 AM,8.779,,,,,,,
83,07/13/19 12:45:00 AM,8.779,,,,,,,
84,07/13/19 12:50:00 AM,8.779,,,,,,,
85,07/13/19 12:55:00 AM,8.779,,,,,,,
86,07/13/19 01:00:00 AM,8.779,8.779,,,,,,
87,07/13/19 01:05:00 AM,8.779,,,,,,,
88,07/13/19 01:10:00 AM,8.779,,,,,,,
89,07/13/19 01:15:00 AM,8.779,,,,,,,
90,07/13/19 01:20:00 AM,8.779,,,,,,,
91,07/13/19 01:25:00 AM,8.779,,,,,,,
92,07/13/19 01:30:00 AM,8.779,,,,,,,
93,07/13/19 01:35:00 AM,8.779,,,,,,,
94,07/13/19 01:40:00 AM,8.779,,,,,,,
95,07/13/19 01:45:00 AM,8.779,,,,,,,
96,07/13/19 01:50:00 AM,8.779,,,,,,,
97,07/13/19 01:55:00 AM,8.779,,,,,,,
98,07/13/19 02:00:00 AM,8.680,8.762,,,,,,
99,07/13/19 02:05:00 AM,8.779,,,,,,,
100,07/13/19 02:10:00 AM,8.680,,,,,,,
101,07/13/19 02:15:00 AM,8.779,,,,,,,
102,07/13/19 02:20:00 AM,8.779,,,,,,,
103,07/13/19 02:25:00 AM,8.779,,,,,,,
104,07/13/19 02:30:00 AM,8.779,,,,,,,
105,07/13/19 02:35:00 AM,8.779,,,,,,,
106,07/13/19 02:40:00 AM,8.779,,,,,,,
107,07/13/19 02:45:00 AM,8.779,,,,,,,
108,07/13/19 02:50:00 AM,8.779,,,,,,,
109,07/13/19 02:55:00 AM,8.779,,,,,,,
110,07/13/19 03:00:00 AM,8.779,8.746,,,,,,
111,07/13/19 03:05:00 AM,8.779,,,,,,,
112,07/13/19 03:10:00 AM,8.779,,,,,,,
113,07/13/19 03:15:00 AM,8.779,,,,,,,
114,07/13/19 03:20:00 AM,8.779,,,,,,,
115,07/13/19 03:25:00 AM,8.779,,,,,,,
116,07/13/19 03:30:00 AM,8.779,,,,,,,
117,07/13/19 03:35:00 AM,8.680,,,,,,,
118,07/13/19 03:40:00 AM,8.779,,,,,,,
119,07/13/19 03:45:00 AM,8.680,,,,,,,
120,07/13/19 03:50:00 AM,8.680,,,,,,,
121,07/13/19 03:55:00 AM,8.680,,,,,,,
122,07/13/19 04:00:00 AM,8.779,8.746,,,,,,
123,07/13/19 04:05:00 AM,8.779,,,,,,,
124,07/13/19 04:10:00 AM,8.779,,,,,,,
125,07/13/19 04:15:00 AM,8.779,,,,,,,
126,07/13/19 04:20:00 AM,8.680,,,,,,,
127,07/13/19 04:25:00 AM,8.680,,,,,,,
128,07/13/19 04:30:00 AM,8.779,,,,,,,
129,07/13/19 04:35:00 AM,8.680,,,,,,,
130,07/13/19 04:40:00 AM,8.779,,,,,,,
131,07/13/19 04:45:00 AM,8.779,,,,,,,
132,07/13/19 04:50:00 AM,8.779,,,,,,,
133,07/13/19 04:55:00 AM,8.680,,,,,,,
134,07/13/19 05:00:00 AM,8.680,8.705,,,,,,
135,07/13/19 05:05:00 AM,8.680,,,,,,,
136,07/13/19 05:10:00 AM,8.779,,,,,,,
137,07/13/19 05:15:00 AM,8.779,,,,,,,
138,07/13/19 05:20:00 AM,8.779,,,,,,,
139,07/13/19 05:25:00 AM,8.680,,,,,,,
140,07/13/19 05:30:00 AM,8.680,,,,,,,
141,07/13/19 05:35:00 AM,8.680,,,,,,,
142,07/13/19 05:40:00 AM,8.680,,,,,,,
143,07/13/19 05:45:00 AM,8.680,,,,,,,
144,07/13/19 05:50:00 AM,8.680,,,,,,,
145,07/13/19 05:55:00 AM,8.680,,,,,,,
146,07/13/19 06:00:00 AM,8.680,10.468,,,,,,
147,07/13/19 06:05:00 AM,8.680,,,,,,,
148,07/13/19 06:10:00 AM,9.866,,,,,,,
149,07/13/19 06:15:00 AM,11.431,,,,,,,
150,07/13/19 06:20:00 AM,11.528,,,,,,,
151,07/13/19 06:25:00 AM,10.944,,,,,,,
152,07/13/19 06:30:00 AM,10.455,,,,,,,
153,07/13/19 06:35:00 AM,10.357,,,,,,,
154,07/13/19 06:40:00 AM,10.455,,,,,,,
155,07/13/19 06:45:00 AM,10.748,,,,,,,
156,07/13/19 06:50:00 AM,11.041,,,,,,,
157,07/13/19 06:55:00 AM,11.431,,,,,,,
158,07/13/19 07:00:00 AM,11.722,13.993,,,,,,
159,07/13/19 07:05:00 AM,12.013,,,,,,,
160,07/13/19 07:10:00 AM,12.401,,,,,,,
161,07/13/19 07:15:00 AM,12.883,,,,,,,
162,07/13/19 07:20:00 AM,13.365,,,,,,,
163,07/13/19 07:25:00 AM,14.038,,,,,,,
164,07/13/19 07:30:00 AM,14.517,,,,,,,
165,07/13/19 07:35:00 AM,14.900,,,,,,,
166,07/13/19 07:40:00 AM,15.091,,,,,,,
167,07/13/19 07:45:00 AM,15.282,,,,,,,
168,07/13/19 07:50:00 AM,15.664,,,,,,,
169,07/13/19 07:55:00 AM,16.046,,,,,,,
170,07/13/19 08:00:00 AM,16.427,19.132,,,,,,
171,07/13/19 08:05:00 AM,16.808,,,,,,,
172,07/13/19 08:10:00 AM,17.189,,,,,,,
173,07/13/19 08:15:00 AM,17.665,,,,,,,
174,07/13/19 08:20:00 AM,18.236,,,,,,,
175,07/13/19 08:25:00 AM,18.901,,,,,,,
176,07/13/19 08:30:00 AM,19.377,,,,,,,
177,07/13/19 08:35:00 AM,20.043,,,,,,,
178,07/13/19 08:40:00 AM,20.615,,,,,,,
179,07/13/19 08:45:00 AM,21.091,,,,,,,
180,07/13/19 08:50:00 AM,21.378,,,,,,,
181,07/13/19 08:55:00 AM,21.855,,,,,,,
182,07/13/19 09:00:00 AM,22.333,24.503,,,,,,
183,07/13/19 09:05:00 AM,22.717,,,,,,,
184,07/13/19 09:10:00 AM,23.004,,,,,,,
185,07/13/19 09:15:00 AM,23.196,,,,,,,
186,07/13/19 09:20:00 AM,23.581,,,,,,,
187,07/13/19 09:25:00 AM,24.062,,,,,,,
188,07/13/19 09:30:00 AM,24.545,,,,,,,
189,07/13/19 09:35:00 AM,24.931,,,,,,,
190,07/13/19 09:40:00 AM,25.513,,,,,,,
191,07/13/19 09:45:00 AM,26.097,,,,,,,
192,07/13/19 09:50:00 AM,26.781,,,,,,,
193,07/13/19 09:55:00 AM,27.272,,,,,,,
194,07/13/19 10:00:00 AM,27.665,28.838,,,,,,
195,07/13/19 10:05:00 AM,28.159,,,,,,,
196,07/13/19 10:10:00 AM,28.555,,,,,,,
197,07/13/19 10:15:00 AM,28.754,,,,,,,
198,07/13/19 10:20:00 AM,28.953,,,,,,,
199,07/13/19 10:25:00 AM,29.152,,,,,,,
200,07/13/19 10:30:00 AM,29.252,,,,,,,
201,07/13/19 10:35:00 AM,29.152,,,,,,,
202,07/13/19 10:40:00 AM,29.152,,,,,,,
203,07/13/19 10:45:00 AM,29.053,,,,,,,
204,07/13/19 10:50:00 AM,29.152,,,,,,,
205,07/13/19 10:55:00 AM,29.053,,,,,,,
206,07/13/19 11:00:00 AM,28.853,28.390,,,,,,
207,07/13/19 11:05:00 AM,28.853,,,,,,,
208,07/13/19 11:10:00 AM,28.754,,,,,,,
209,07/13/19 11:15:00 AM,28.555,,,,,,,
210,07/13/19 11:20:00 AM,28.357,,,,,,,
211,07/13/19 11:25:00 AM,28.357,,,,,,,
212,07/13/19 11:30:00 AM,28.357,,,,,,,
213,07/13/19 11:35:00 AM,28.456,,,,,,,
214,07/13/19 11:40:00 AM,28.060,,,,,,,
215,07/13/19 11:45:00 AM,27.961,,,,,,,
216,07/13/19 11:50:00 AM,28.060,,,,,,,
217,07/13/19 11:55:00 AM,28.060,,,,,,,
218,07/13/19 12:00:00 PM,27.961,27.928,,,,,,
219,07/13/19 12:05:00 PM,28.060,,,,,,,
220,07/13/19 12:10:00 PM,28.060,,,,,,,
221,07/13/19 12:15:00 PM,27.961,,,,,,,
222,07/13/19 12:20:00 PM,27.961,,,,,,,
223,07/13/19 12:25:00 PM,27.961,,,,,,,
224,07/13/19 12:30:00 PM,27.862,,,,,,,
225,07/13/19 12:35:00 PM,27.862,,,,,,,
226,07/13/19 12:40:00 PM,27.961,,,,,,,
227,07/13/19 12:45:00 PM,27.862,,,,,,,
228,07/13/19 12:50:00 PM,27.862,,,,,,,
229,07/13/19 12:55:00 PM,27.764,,,,,,,
230,07/13/19 01:00:00 PM,27.764,27.813,,,,,,
231,07/13/19 01:05:00 PM,27.764,,,,,,,
232,07/13/19 01:10:00 PM,27.764,,,,,,,
233,07/13/19 01:15:00 PM,27.764,,,,,,,
234,07/13/19 01:20:00 PM,27.764,,,,,,,
235,07/13/19 01:25:00 PM,27.862,,,,,,,
236,07/13/19 01:30:00 PM,27.862,,,,,,,
237,07/13/19 01:35:00 PM,27.862,,,,,,,
238,07/13/19 01:40:00 PM,27.862,,,,,,,
239,07/13/19 01:45:00 PM,27.862,,,,,,,
240,07/13/19 01:50:00 PM,27.862,,,,,,,
241,07/13/19 01:55:00 PM,27.764,,,,,,,
242,07/13/19 02:00:00 PM,27.764,27.788,,,,,,
243,07/13/19 02:05:00 PM,27.764,,,,,,,
244,07/13/19 02:10:00 PM,27.764,,,,,,,
245,07/13/19 02:15:00 PM,27.665,,,,,,,
246,07/13/19 02:20:00 PM,27.764,,,,,,,
247,07/13/19 02:25:00 PM,27.862,,,,,,,
248,07/13/19 02:30:00 PM,27.764,,,,,,,
249,07/13/19 02:35:00 PM,27.764,,,,,,,
250,07/13/19 02:40:00 PM,27.862,,,,,,,
251,07/13/19 02:45:00 PM,27.862,,,,,,,
252,07/13/19 02:50:00 PM,27.862,,,,,,,
253,07/13/19 02:55:00 PM,27.764,,,,,,,
254,07/13/19 03:00:00 PM,27.862,27.969,,,,,,
255,07/13/19 03:05:00 PM,27.961,,,,,,,
256,07/13/19 03:10:00 PM,27.961,,,,,,,
257,07/13/19 03:15:00 PM,27.961,,,,,,,
258,07/13/19 03:20:00 PM,27.961,,,,,,,
259,07/13/19 03:25:00 PM,27.862,,,,,,,
260,07/13/19 03:30:00 PM,27.862,,,,,,,
261,07/13/19 03:35:00 PM,27.961,,,,,,,
262,07/13/19 03:40:00 PM,27.961,,,,,,,
263,07/13/19 03:45:00 PM,28.060,,,,,,,
264,07/13/19 03:50:00 PM,28.060,,,,,,,
265,07/13/19 03:55:00 PM,28.159,,,,,,,
266,07/13/19 04:00:00 PM,28.060,28.060,,,,,,
267,07/13/19 04:05:00 PM,28.060,,,,,,,
268,07/13/19 04:10:00 PM,27.961,,,,,,,
269,07/13/19 04:15:00 PM,27.961,,,,,,,
270,07/13/19 04:20:00 PM,28.060,,,,,,,
271,07/13/19 04:25:00 PM,28.159,,,,,,,
272,07/13/19 04:30:00 PM,28.060,,,,,,,
273,07/13/19 04:35:00 PM,28.060,,,,,,,
274,07/13/19 04:40:00 PM,28.060,,,,,,,
275,07/13/19 04:45:00 PM,28.060,,,,,,,
276,07/13/19 04:50:00 PM,28.060,,,,,,,
277,07/13/19 04:55:00 PM,28.159,,,,,,,
278,07/13/19 05:00:00 PM,28.060,27.994,,,,,,
279,07/13/19 05:05:00 PM,28.060,,,,,,,
280,07/13/19 05:10:00 PM,28.060,,,,,,,
281,07/13/19 05:15:00 PM,27.961,,,,,,,
282,07/13/19 05:20:00 PM,27.961,,,,,,,
283,07/13/19 05:25:00 PM,27.961,,,,,,,
284,07/13/19 05:30:00 PM,27.961,,,,,,,
285,07/13/19 05:35:00 PM,27.961,,,,,,,
286,07/13/19 05:40:00 PM,27.961,,,,,,,
287,07/13/19 05:45:00 PM,28.060,,,,,,,
288,07/13/19 05:50:00 PM,27.961,,,,,,,
289,07/13/19 05:55:00 PM,27.961,,,,,,,
290,07/13/19 06:00:00 PM,27.862,26.371,,,,,,
291,07/13/19 06:05:00 PM,27.862,,,,,,,
292,07/13/19 06:10:00 PM,27.862,,,,,,,
293,07/13/19 06:15:00 PM,27.665,,,,,,,
294,07/13/19 06:20:00 PM,27.370,,,,,,,
295,07/13/19 06:25:00 PM,26.879,,,,,,,
296,07/13/19 06:30:00 PM,26.292,,,,,,,
297,07/13/19 06:35:00 PM,25.805,,,,,,,
298,07/13/19 06:40:00 PM,25.416,,,,,,,
299,07/13/19 06:45:00 PM,24.931,,,,,,,
300,07/13/19 06:50:00 PM,24.448,,,,,,,
301,07/13/19 06:55:00 PM,24.062,,,,,,,
302,07/13/19 07:00:00 PM,23.581,21.269,,,,,,
303,07/13/19 07:05:00 PM,23.196,,,,,,,
304,07/13/19 07:10:00 PM,23.004,,,,,,,
305,07/13/19 07:15:00 PM,22.621,,,,,,,
306,07/13/19 07:20:00 PM,21.951,,,,,,,
307,07/13/19 07:25:00 PM,21.473,,,,,,,
308,07/13/19 07:30:00 PM,20.996,,,,,,,
309,07/13/19 07:35:00 PM,20.519,,,,,,,
310,07/13/19 07:40:00 PM,20.138,,,,,,,
311,07/13/19 07:45:00 PM,19.758,,,,,,,
312,07/13/19 07:50:00 PM,19.282,,,,,,,
313,07/13/19 07:55:00 PM,18.711,,,,,,,
314,07/13/19 08:00:00 PM,18.426,16.148,,,,,,
315,07/13/19 08:05:00 PM,18.045,,,,,,,
316,07/13/19 08:10:00 PM,16.237,,,,,,,
317,07/13/19 08:15:00 PM,15.187,,,,,,,
318,07/13/19 08:20:00 PM,15.282,,,,,,,
319,07/13/19 08:25:00 PM,15.760,,,,,,,
320,07/13/19 08:30:00 PM,16.141,,,,,,,
321,07/13/19 08:35:00 PM,16.141,,,,,,,
322,07/13/19 08:40:00 PM,16.046,,,,,,,
323,07/13/19 08:45:00 PM,15.855,,,,,,,
324,07/13/19 08:50:00 PM,15.569,,,,,,,
325,07/13/19 08:55:00 PM,15.091,,,,,,,
326,07/13/19 09:00:00 PM,14.709,12.492,,,,,,
327,07/13/19 09:05:00 PM,14.325,,,,,,,
328,07/13/19 09:10:00 PM,13.846,,,,,,,
329,07/13/19 09:15:00 PM,13.461,,,,,,,
330,07/13/19 09:20:00 PM,13.076,,,,,,,
331,07/13/19 09:25:00 PM,12.690,,,,,,,
332,07/13/19 09:30:00 PM,12.207,,,,,,,
333,07/13/19 09:35:00 PM,11.819,,,,,,,
334,07/13/19 09:40:00 PM,11.528,,,,,,,
335,07/13/19 09:45:00 PM,11.139,,,,,,,
336,07/13/19 09:50:00 PM,10.748,,,,,,,
337,07/13/19 09:55:00 PM,10.357,,,,,,,
338,07/13/19 10:00:00 PM,9.866,8.919,,,,,,
339,07/13/19 10:05:00 PM,9.373,,,,,,,
340,07/13/19 10:10:00 PM,8.978,,,,,,,
341,07/13/19 10:15:00 PM,8.779,,,,,,,
342,07/13/19 10:20:00 PM,8.779,,,,,,,
343,07/13/19 10:25:00 PM,8.779,,,,,,,
344,07/13/19 10:30:00 PM,8.680,,,,,,,
345,07/13/19 10:35:00 PM,8.680,,,,,,,
346,07/13/19 10:40:00 PM,8.779,,,,,,,
347,07/13/19 10:45:00 PM,8.779,,,,,,,
348,07/13/19 10:50:00 PM,8.779,,,,,,,
349,07/13/19 10:55:00 PM,8.779,,,,,,,
350,07/13/19 11:00:00 PM,8.779,8.771,,,,,,
351,07/13/19 11:05:00 PM,8.779,,,,,,,
352,07/13/19 11:10:00 PM,8.779,,,,,,,
353,07/13/19 11:15:00 PM,8.779,,,,,,,
354,07/13/19 11:20:00 PM,8.779,,,,,,,
355,07/13/19 11:25:00 PM,8.779,,,,,,,
356,07/13/19 11:30:00 PM,8.779,,,,,,,
357,07/13/19 11:35:00 PM,8.779,,,,,,,
358,07/13/19 11:40:00 PM,8.779,,,,,,,
359,07/13/19 11:45:00 PM,8.779,,,,,,,
360,07/13/19 11:50:00 PM,8.779,,,,,,,
361,07/13/19 11:55:00 PM,8.680,,,,,,,
362,07/14/19 12:00:00 AM,8.680,8.614,29.252,8.581,,,,
363,07/14/19 12:05:00 AM,8.581,,,,,,,
364,07/14/19 12:10:00 AM,8.581,,,,,,,
365,07/14/19 12:15:00 AM,8.581,,,,,,,
366,07/14/19 12:20:00 AM,8.581,,,,,,,
367,07/14/19 12:25:00 AM,8.581,,,,,,,
368,07/14/19 12:30:00 AM,8.581,,,,,,,
369,07/14/19 12:35:00 AM,8.581,,,,,,,
370,07/14/19 12:40:00 AM,8.680,,,,,,,
371,07/14/19 12:45:00 AM,8.680,,,,,,,
372,07/14/19 12:50:00 AM,8.680,,,,,,,
373,07/14/19 12:55:00 AM,8.581,,,,,,,
374,07/14/19 01:00:00 AM,8.680,8.606,,,,,,
375,07/14/19 01:05:00 AM,8.680,,,,,,,
376,07/14/19 01:10:00 AM,8.680,,,,,,,
377,07/14/19 01:15:00 AM,8.581,,,,,,,
378,07/14/19 01:20:00 AM,8.581,,,,,,,
379,07/14/19 01:25:00 AM,8.581,,,,,,,
380,07/14/19 01:30:00 AM,8.581,,,,,,,
381,07/14/19 01:35:00 AM,8.581,,,,,,,
382,07/14/19 01:40:00 AM,8.581,,,,,,,
383,07/14/19 01:45:00 AM,8.581,,,,,,,
384,07/14/19 01:50:00 AM,8.581,,,,,,,
385,07/14/19 01:55:00 AM,8.581,,,,,,,
386,07/14/19 02:00:00 AM,8.581,8.639,,,,,,
387,07/14/19 02:05:00 AM,8.581,,,,,,,
388,07/14/19 02:10:00 AM,8.680,,,,,,,
389,07/14/19 02:15:00 AM,8.680,,,,,,,
390,07/14/19 02:20:00 AM,8.581,,,,,,,
391,07/14/19 02:25:00 AM,8.581,,,,,,,
392,07/14/19 02:30:00 AM,8.581,,,,,,,
393,07/14/19 02:35:00 AM,8.581,,,,,,,
394,07/14/19 02:40:00 AM,8.680,,,,,,,
395,07/14/19 02:45:00 AM,8.680,,,,,,,
396,07/14/19 02:50:00 AM,8.680,,,,,,,
397,07/14/19 02:55:00 AM,8.779,,,,,,,
398,07/14/19 03:00:00 AM,8.779,8.647,,,,,,
399,07/14/19 03:05:00 AM,8.680,,,,,,,
400,07/14/19 03:10:00 AM,8.581,,,,,,,
401,07/14/19 03:15:00 AM,8.581,,,,,,,
402,07/14/19 03:20:00 AM,8.581,,,,,,,
403,07/14/19 03:25:00 AM,8.680,,,,,,,
404,07/14/19 03:30:00 AM,8.680,,,,,,,
405,07/14/19 03:35:00 AM,8.680,,,,,,,
406,07/14/19 03:40:00 AM,8.581,,,,,,,
407,07/14/19 03:45:00 AM,8.680,,,,,,,
408,07/14/19 03:50:00 AM,8.680,,,,,,,
409,07/14/19 03:55:00 AM,8.581,,,,,,,
410,07/14/19 04:00:00 AM,8.680,8.663,,,,,,
411,07/14/19 04:05:00 AM,8.680,,,,,,,
412,07/14/19 04:10:00 AM,8.581,,,,,,,
413,07/14/19 04:15:00 AM,8.581,,,,,,,
414,07/14/19 04:20:00 AM,8.581,,,,,,,
415,07/14/19 04:25:00 AM,8.581,,,,,,,
416,07/14/19 04:30:00 AM,8.680,,,,,,,
417,07/14/19 04:35:00 AM,8.779,,,,,,,
418,07/14/19 04:40:00 AM,8.779,,,,,,,
419,07/14/19 04:45:00 AM,8.680,,,,,,,
420,07/14/19 04:50:00 AM,8.680,,,,,,,
421,07/14/19 04:55:00 AM,8.680,,,,,,,
422,07/14/19 05:00:00 AM,8.581,8.639,,,,,,
423,07/14/19 05:05:00 AM,8.581,,,,,,,
424,07/14/19 05:10:00 AM,8.680,,,,,,,
425,07/14/19 05:15:00 AM,8.680,,,,,,,
426,07/14/19 05:20:00 AM,8.680,,,,,,,
427,07/14/19 05:25:00 AM,8.581,,,,,,,
428,07/14/19 05:30:00 AM,8.581,,,,,,,
429,07/14/19 05:35:00 AM,8.581,,,,,,,
430,07/14/19 05:40:00 AM,8.680,,,,,,,
431,07/14/19 05:45:00 AM,8.680,,,,,,,
432,07/14/19 05:50:00 AM,8.680,,,,,,,
433,07/14/19 05:55:00 AM,8.680,,,,,,,
434,07/14/19 06:00:00 AM,8.680,10.517,,,,,,
435,07/14/19 06:05:00 AM,8.581,,,,,,,
436,07/14/19 06:10:00 AM,9.866,,,,,,,
437,07/14/19 06:15:00 AM,11.236,,,,,,,
438,07/14/19 06:20:00 AM,11.236,,,,,,,
439,07/14/19 06:25:00 AM,10.846,,,,,,,
440,07/14/19 06:30:00 AM,10.553,,,,,,,
441,07/14/19 06:35:00 AM,10.455,,,,,,,
442,07/14/19 06:40:00 AM,10.651,,,,,,,
443,07/14/19 06:45:00 AM,11.041,,,,,,,
444,07/14/19 06:50:00 AM,11.334,,,,,,,
445,07/14/19 06:55:00 AM,11.722,,,,,,,
446,07/14/19 07:00:00 AM,12.207,14.346,,,,,,
447,07/14/19 07:05:00 AM,12.497,,,,,,,
448,07/14/19 07:10:00 AM,12.980,,,,,,,
449,07/14/19 07:15:00 AM,13.365,,,,,,,
450,07/14/19 07:20:00 AM,13.750,,,,,,,
451,07/14/19 07:25:00 AM,14.038,,,,,,,
452,07/14/19 07:30:00 AM,14.517,,,,,,,
453,07/14/19 07:35:00 AM,14.900,,,,,,,
454,07/14/19 07:40:00 AM,15.378,,,,,,,
455,07/14/19 07:45:00 AM,15.760,,,,,,,
456,07/14/19 07:50:00 AM,16.141,,,,,,,
457,07/14/19 07:55:00 AM,16.618,,,,,,,
458,07/14/19 08:00:00 AM,17.094,19.203,,,,,,
459,07/14/19 08:05:00 AM,17.570,,,,,,,
460,07/14/19 08:10:00 AM,18.045,,,,,,,
461,07/14/19 08:15:00 AM,18.426,,,,,,,
462,07/14/19 08:20:00 AM,18.901,,,,,,,
463,07/14/19 08:25:00 AM,19.282,,,,,,,
464,07/14/19 08:30:00 AM,19.567,,,,,,,
465,07/14/19 08:35:00 AM,19.853,,,,,,,
466,07/14/19 08:40:00 AM,19.948,,,,,,,
467,07/14/19 08:45:00 AM,20.234,,,,,,,
468,07/14/19 08:50:00 AM,20.519,,,,,,,
469,07/14/19 08:55:00 AM,20.996,,,,,,,
470,07/14/19 09:00:00 AM,21.378,24.029,,,,,,
471,07/14/19 09:05:00 AM,21.951,,,,,,,
472,07/14/19 09:10:00 AM,22.333,,,,,,,
473,07/14/19 09:15:00 AM,22.717,,,,,,,
474,07/14/19 09:20:00 AM,23.196,,,,,,,
475,07/14/19 09:25:00 AM,23.677,,,,,,,
476,07/14/19 09:30:00 AM,24.255,,,,,,,
477,07/14/19 09:35:00 AM,24.738,,,,,,,
478,07/14/19 09:40:00 AM,25.125,,,,,,,
479,07/14/19 09:45:00 AM,25.708,,,,,,,
480,07/14/19 09:50:00 AM,26.292,,,,,,,
481,07/14/19 09:55:00 AM,26.977,,,,,,,
482,07/14/19 10:00:00 AM,27.961,28.862,,,,,,
483,07/14/19 10:05:00 AM,28.555,,,,,,,
484,07/14/19 10:10:00 AM,28.953,,,,,,,
485,07/14/19 10:15:00 AM,29.152,,,,,,,
486,07/14/19 10:20:00 AM,29.252,,,,,,,
